"λ изм, Å","λ теор, Å",Элемент,Стадия ионизации,"Сила линии, S","Интенсивность, I_λ"
5252.00,5252.019,Ti,II,-11.2253,0.81257
5253.44,5253.461,Fe,I,-11.2536,0.74715
,5253.641,Fe,II,-11.3809,0.74715
5254.93,5254.929,Fe,II,-9.84933,0.50824
5255.70,5255.753,Fe,I,-11.5405,0.89722
5256.93,5256.938,Fe,II,-10.65,0.68107
5260.25,5260.259,Fe,II,-10.1995,0.77607
5261.67,5261.704,Ca,I,-11.9007,0.61284
,5261.704,Ca,I,-12.0407,0.61284
5262.18,5262.137,Ti,II,-10.1833,0.43691
5263.30,5263.305,Fe,I,-10.5426,0.5501
5263.90,5264.026,Fe,II,-11.7719,0.82701
,5263.862,Fe,I,-11.9012,0.82701
,5263.999,V,II,-12.0336,0.82701
5264.21,5264.177,Fe,II,-10.9639,0.48646
5264.81,5264.812,Fe,II,-9.80933,0.4704
5265.17,5265.136,C,I,-12.0922,0.87834
5265.57,5265.556,Ca,I,-11.462,0.46979
,5265.556,Ca,I,-11.572,0.46979
5265.97,5265.981,Fe,II,-12.2095,0.79111
5266.58,5266.555,Fe,I,-9.94926,0.41022
5267.03,5267.03,Cr,II,-12.3046,0.89712
5268.39,5268.387,Si,I,-11.2047,0.75881
5268.59,5268.615,Ti,II,-10.3505,0.61382
5269.54,5269.537,Fe,I,-9.40565,0.26336
5270.34,5270.357,Fe,I,-10.0101,0.29932
5271.10,5271.1,Fe,II,-12.0039,0.89139
5272.39,5272.397,Fe,II,-10.4126,0.6679
5273.19,5273.163,Fe,I,-10.7094,0.55263
5273.39,5273.374,Fe,I,-11.3168,0.61236
5274.24,5274.229,Ce,II,-12.4853,0.86066
5274.99,5274.964,Cr,II,-10.2933,0.45194
5276.03,5276.002,Fe,II,-8.53928,0.30934
5278.95,5278.938,Fe,II,-10.7635,0.80311
5279.89,5280.054,Cr,II,-11.0153,0.60639
,5279.876,Cr,II,-11.1046,0.60639
5280.04,5280.054,Cr,II,-11.0153,0.64372
,5279.876,Cr,II,-11.1046,0.64372
5280.33,5280.23,C,I,-11.4622,0.83848
5281.81,5281.79,Fe,I,-10.4451,0.48982
5283.63,5283.621,Fe,I,-10.1964,0.44082
5284.12,5284.109,Fe,II,-9.59005,0.43109
5285.24,5285.118,Fe,I,-11.9688,0.77193
,5285.266,Ca,II,-12.1846,0.77193
,5285.266,Ca,II,-12.3046,0.77193
5288.51,5288.528,Fe,I,-11.4901,0.78904
5291.66,5291.666,Fe,II,-10.739,0.88376
5292.58,5292.459,Fe,II,-12.6973,0.85956
5293.16,5293.163,Nd,II,-12.1324,0.85585
5294.07,5293.963,Fe,I,-12.0099,0.86674
5295.32,5295.299,Fe,I,-12.0058,0.87107
,5295.426,C,I,-12.0822,0.87107
5296.71,5296.691,Cr,I,-12.3359,0.70766
5297.38,5297.376,Cr,I,-12.0759,0.67734
5298.01,5297.968,Cr,I,-12.3059,0.69019
,5298.042,Fe,II,-12.6527,0.69019
5298.29,5298.277,Cr,I,-12.1459,0.62233
5298.77,5298.776,Fe,I,-11.9758,0.86567
